species,colony,temperature,area_d0,area_d7,area_d14,area_d21,area_d28
Cyphomyrmex_costatus,MB_20211018_3,25,0.222,2.076,7.625,20.072,28.377
Cyphomyrmex_costatus,MB_20211018_3,30,0.247,2.793,11.38,20.837,28.357
Cyphomyrmex_costatus,MB_20211018_3,25,0.285,2.03,8.166,22.11,27.931
Cyphomyrmex_costatus,MB_20211011_3,25,0.301,1.441,6.548,16.326,27.684
Cyphomyrmex_costatus,MB_20211011_3,25,0.127,1.2,4.588,15.549,27.663
Cyphomyrmex_costatus,MB_20211018_3,25,0.275,1.92,7.215,19.297,27.425
Cyphomyrmex_costatus,MB_20211018_3,25,0.348,2.213,9.205,22.342,27.302
Cyphomyrmex_costatus,MB_20211018_3,30,0.232,2.547,10.306,19.731,26.478
Cyphomyrmex_costatus,MB_20211011_3,25,0.301,1.502,8,17.945,26.419
Cyphomyrmex_costatus,MB_20211011_3,30,0.201,2.34,9.786,18.684,26.144
Cyphomyrmex_costatus,MB_20211011_3,30,0.308,2.02,8.362,17.035,25.24
Cyphomyrmex_costatus,MB_20211011_3,30,0.348,2.101,9.48,17.635,25.182
Cyphomyrmex_costatus,MB_20211011_3,25,0.272,1.662,6.388,15.972,24.058
Cyphomyrmex_costatus,MB_20211011_3,30,0.242,1.758,6.903,16.216,23.863
Apterostigma_dentigerum,CLD_20211022_1,25,0.262,1.503,5.968,12.564,22.284
Apterostigma_dentigerum,CLD_20211022_1,25,0.248,1.431,5.848,12.824,22.049
Cyphomyrmex_costatus,MB_20211011_3,30,0.273,1.719,6.003,13.128,22.027
Cyphomyrmex_costatus,MB_20211011_3,30,0.235,2.109,5.651,12.294,21.802
Apterostigma_dentigerum,CLD_20211022_1,25,0.273,1.538,5.181,11.58,20.419
Cyphomyrmex_costatus,MB_20211024_1,30,0.213,1.448,3.702,8.697,19.407
Apterostigma_dentigerum,MB_20211019_2,25,0.202,1.241,4.179,9.677,18.578
Apterostigma_dentigerum,MB_20211019_2,25,0.241,1.048,3.445,9.261,17.835
Apterostigma_dentigerum,MB_20211019_2,25,0.229,0.816,3.289,9.191,17.68
Apterostigma_dentigerum,MB_20211102_1,25,0.255,1.13,4.284,8.614,16.972
Acromyrmex_echinatior,Ae621,25,0.21,0.82,3.175,9.92,16.833
Apterostigma_dentigerum,MB_20211019_2,25,0.275,0.902,3.452,9.077,16.508
Cyphomyrmex_costatus,MB_20211024_1,25,0.253,1.267,3.898,9.55,15.995
Cyphomyrmex_costatus,MB_20211018_3,20,0.302,0.692,3.022,7.958,15.439
Atta_colombica,EG_20211101_2,25,0.217,0.765,2.893,8.783,15.345
Apterostigma_dentigerum,MB_20211102_1,25,0.198,0.846,3.677,7.288,15.328
Apterostigma_dentigerum,MB_20211102_1,25,0.25,0.884,3.363,7.312,15.076
Acromyrmex_echinatior,Ae507,25,0.281,1.167,4.39,9.616,14.979
Apterostigma_dentigerum,MB_20211102_1,25,0.244,0.946,2.816,6.36,14.449
Apterostigma_dentigerum,MB_20211102_1,25,0.241,1.002,3.246,7.015,14.316
Atta_colombica,EG_20211101_2,25,0.265,0.737,2.973,8.783,14.175
Cyphomyrmex_costatus,MB_20211011_3,20,0.277,0.672,2.708,7.019,14.068
Cyphomyrmex_costatus,MB_20211024_1,25,0.252,1.007,3.251,7.973,14.023
Cyphomyrmex_costatus,MB_20211024_1,25,0.282,0.998,3.45,8.011,13.872
Cyphomyrmex_costatus,MB_20211018_3,20,0.194,0.622,2.379,7.264,13.73
Apterostigma_dentigerum,CLD_20211022_1,20,0.245,0.898,2.765,7.017,13.703
Cyphomyrmex_costatus,MB_20211024_1,30,0.272,1.508,3.716,7.307,13.513
Apterostigma_dentigerum,CLD_20211022_1,20,0.263,1.153,2.985,7.787,13.187
Paratrachymyrmex_cornetzi,MB_20211030_3,25,0.411,0.866,2.987,7.151,13.119
Atta_colombica,TLP_20211014_12,25,0.21,0.879,3.186,7.724,12.902
Atta_colombica,EG_20211101_2,25,0.208,0.605,2.742,7.595,12.74
Cyphomyrmex_costatus,MB_20211018_3,20,0.179,0.529,1.964,6.553,12.672
Cyphomyrmex_costatus,MB_20211024_1,25,0.222,1.128,3.461,6.295,12.665
Cyphomyrmex_costatus,MB_20211024_1,30,0.272,1.65,4.452,7.511,12.594
Atta_colombica,EG_20211101_2,25,0.217,1.124,3.628,7.866,12.59
Acromyrmex_echinatior,Ae507,25,0.202,0.448,1.908,6.507,12.559
Apterostigma_dentigerum,CLD_20211022_1,20,0.259,0.776,2.443,5.908,12.456
Cyphomyrmex_costatus,MB_20211024_1,30,0.234,1.732,4.26,7.684,12.374
Cyphomyrmex_costatus,MB_20211018_3,20,0.134,0.767,2.314,6.43,11.804
Atta_colombica,TLP_20211014_12,25,0.233,0.689,1.986,6.483,11.727
Cyphomyrmex_costatus,MB_20211011_3,20,0.293,0.743,2.561,6.292,11.525
Apterostigma_dentigerum,CLD_20211022_1,20,0.226,0.76,2.267,5.662,11.472
Apterostigma_dentigerum,MB_20211019_2,20,0.232,0.728,2.217,5.456,11.374
Apterostigma_dentigerum,CLD_20211022_1,20,0.223,0.666,2.534,6.028,11.364
Paratrachymyrmex_cornetzi,MB_20211030_3,25,0.338,1.248,3.701,6.854,11.098
Cyphomyrmex_costatus,MB_20211011_3,20,0.277,0.735,2.648,6.35,10.923
Apterostigma_dentigerum,CLD_20211022_1,20,0.25,0.807,2.137,5.062,10.346
Apterostigma_dentigerum,MB_20211019_2,20,0.201,0.874,2.329,5.349,10.331
Apterostigma_dentigerum,MB_20211019_2,20,0.256,0.675,2.208,5.256,9.946
Atta_colombica,EG_20211101_2,20,0.222,0.529,1.863,5.578,9.629
Apterostigma_dentigerum,CLD_20211022_1,20,0.225,0.776,2.287,4.585,9.399
Atta_colombica,EG_20211101_2,20,0.205,0.445,1.679,4.789,8.591
Atta_colombica,EG_20211101_2,20,0.263,0.557,1.8,5.031,8.377
Paratrachymyrmex_cornetzi,GL_20211017_2,25,0.251,0.954,2.432,4.55,8.304
Apterostigma_dentigerum,MB_20211102_1,20,0.244,0.699,2.011,4.035,8.278
Mycocepurus_smithii,MB_20211030_1,25,0.202,0.562,1.849,4.469,7.864
Atta_colombica,EG_20211101_2,20,0.261,0.545,1.891,4.743,7.661
Acromyrmex_echinatior,Ae526,25,0.148,0.459,1.057,2.999,7.568
Paratrachymyrmex_cornetzi,GL_20211017_2,25,0.255,0.731,2.062,3.717,7.553
Acromyrmex_echinatior,Ae621,25,0.186,0.613,2.25,5.41,7.443
Paratrachymyrmex_cornetzi,MB_20211030_3,25,0.318,0.684,2.033,4.008,7.294
Paratrachymyrmex_cornetzi,GL_20211017_2,25,0.335,0.905,2.404,4.44,7.143
Apterostigma_dentigerum,MB_20211102_1,20,0.137,0.545,1.831,4.129,7.121
Paratrachymyrmex_cornetzi,EG_20211102_7,25,0.234,0.617,1.858,4.299,6.788
Atta_colombica,TLP_20211014_12,20,0.183,0.699,1.578,3.706,6.674
Atta_colombica,TLP_20211014_12,20,0.246,0.566,1.299,3.611,6.422
Atta_colombica,TLP_20211014_12,20,0.213,0.636,1.358,3.642,6.403
Paratrachymyrmex_cornetzi,EG_20211102_7,25,0.219,0.641,1.737,3.295,6.37
Mycocepurus_smithii,JEA_20211103_2,25,0.218,0.402,0.826,3.104,6.145
Mycocepurus_smithii,MB_20211030_1,25,0.178,0.468,1.122,2.569,5.712
Cyphomyrmex_costatus,MB_20211024_1,20,0.262,0.611,1.527,3.095,5.627
Mycocepurus_smithii,JEA_20211103_2,25,0.198,0.543,1.084,2.477,5.621
Atta_colombica,TLP_20211014_12,25,0.191,0.446,1.384,3.687,5.608
Acromyrmex_echinatior,Ae507,25,0.2,0.431,1.403,3.621,5.452
