Species,Colony_ID,Ecology,Evolution
Acromyrmex_echinatior,Ae507,Below_Ground,Domesticated
Acromyrmex_echinatior,Ae526,Below_Ground,Domesticated
Acromyrmex_echinatior,Ae621,Below_Ground,Domesticated
Apterostigma_dentigerum,CLD_20211022_1,Above_Ground,Non_domesticated
Apterostigma_dentigerum,MB_20211019_2,Above_Ground,Non_domesticated
Apterostigma_dentigerum,MB_20211102_1,Above_Ground,Non_domesticated
Atta_colombica,EG_20211101_2,Below_Ground,Domesticated
Atta_colombica,TLP_20211012_3,Below_Ground,Domesticated
Atta_colombica,TLP_20211014_12,Below_Ground,Domesticated
Cyphomyrmex_costatus,MB_20211011_3,Above_Ground,Non_domesticated
Cyphomyrmex_costatus,MB_20211018_3,Above_Ground,Non_domesticated
Cyphomyrmex_costatus,MB_20211024_1,Above_Ground,Non_domesticated
Mycocepurus_smithii,JEA_20211103_2,Below_Ground,Non_domesticated
Mycocepurus_smithii,MB_20211030_1,Below_Ground,Non_domesticated
Mycocepurus_smithii,MB_20211102_3,Below_Ground,Non_domesticated
Paratrachymyrmex_cornetzi,EG_20211102_4,Below_Ground,Domesticated
Paratrachymyrmex_cornetzi,EG_20211102_7,Below_Ground,Domesticated
Paratrachymyrmex_cornetzi,GL_20211017_2,Below_Ground,Domesticated
Paratrachymyrmex_cornetzi,MB_20211030_3,Below_Ground,Domesticated
