model,species,var_sp[1]_mean,var_sp[1]_2.5%,var_sp[1]_97.5%,var_sp[2]_mean,var_sp[2]_2.5%,var_sp[2]_97.5%,var_sp[3]_mean,var_sp[3]_2.5%,var_sp[3]_97.5%,sigma_mean,sigma_2.5%,sigma_97.5%,indiv_std_mean,indiv_std_2.5%,indiv_std_97.5%,log_density_mean,log_density_2.5%,log_density_97.5%,elpd,elpd_mcse,p,p_mcse,var_sp[4]_mean,var_sp[4]_2.5%,var_sp[4]_97.5%
Gaussian,Acromyrmex_echinatior,297.06069729966055,295.90502949005804,298.19782467148895,-3.3727308126204063,-3.7110451371344073,-2.8445293352950958,1.5406574486435403,1.2869928916493885,1.8450524714099321,0.05522752566938674,0.050184212614729086,0.06105928403329145,0.40332599420845006,0.3135624576811264,0.5185462020337032,432.8371228863428,410.02948316030887,453.09203564074454,376.2110586800152,21.59899048546397,93.67162994685815,11.924157686365481,,,
Gaussian,Apterostigma_dentigerum,295.40669292280927,294.31597297722476,296.6356740512385,-2.466018151981144,-2.73929270538519,-2.177830820872872,1.2961769923156694,1.0135394480315962,1.7097734428904903,0.07741856513587846,0.06954064538378893,0.08560418336721913,0.2484298215163508,0.17104715784436803,0.3566327529445661,361.87188213410303,338.13482586520325,383.79590383540057,277.6565518858744,13.767438207731338,95.74023878436088,8.162672716895388,,,
Gaussian,Atta_colombica,297.22292089137363,295.657880702064,298.882600950049,-2.9646079552152447,-3.6161991394199244,-2.232284109928872,1.5731574332533667,1.3041288229229164,1.917303788486708,0.0628810211304376,0.05702254418019837,0.06951353330934332,0.15203701012320256,0.10823787155996459,0.20927892886360847,448.94711024634836,424.7149332995144,469.65127547320253,345.1408497143422,16.820823978531173,88.3166108825225,8.82872761022073,,,
Gaussian,Cyphomyrmex_costatus,299.8718253919955,299.131564939687,300.5951938710628,-2.3319119147846346,-2.9203702035318084,-1.789601695324931,1.7135044048172983,1.5161669685270474,1.921906447248789,0.0978356084897989,0.08827297005811352,0.108952208321085,0.0867236198637067,0.0420942782178726,0.13442270570549805,344.86200053826656,319.1433788230184,371.9472522010476,210.98426017546606,14.313380244964907,79.8618043936262,7.3195740282103,,,
Gaussian,Mycocepurus_smithii,299.80922806479026,298.8513855591075,300.8769739734153,-3.3421637570513654,-3.7693965943463756,-2.715193595917309,1.5313910085401479,1.2795354044771492,1.841947972939294,0.041688412685270244,0.03779683324329396,0.045968471729892935,0.2527757553413485,0.18128332589182894,0.35002058242326045,553.5112832043804,530.6288012479886,574.9222073886986,463.7706860075443,26.153504239460872,100.00668807431896,14.226457791448276,,,
Gaussian,Paratrachymyrmex_cornetzi,296.1547842292919,295.5504807758344,296.7008487278303,-2.9255578783465706,-3.368023713767086,-2.426515966232614,0.9153710392347375,0.591921535593252,1.2652823193748413,0.037024758362253704,0.03360378184177546,0.04093848905963377,0.3791835411538075,0.2510736977462688,0.5627021341013624,567.5398541822608,540.7721932530042,591.9340749209891,494.0577510480869,26.223463539279734,107.0567022896483,16.059581495211063,,,
Modified Gaussian,Acromyrmex_echinatior,297.3479341860495,296.432722101761,298.2810985958935,-3.148283081485574,-3.5153970303149196,-2.684621398523387,1.125081877294741,0.5119528798705746,1.6215390991604868,0.0558136735485209,0.05052979041305163,0.061470690981320325,0.34845830343383716,0.2666382977648398,0.4583181913964955,438.8454453413296,415.2617719575666,459.9643290001435,374.03100128159366,21.517572870288422,93.11780514542664,12.085426120796505,0.3058399613003445,-0.08752788819835668,0.7486264477886183
Modified Gaussian,Apterostigma_dentigerum,295.2448537759572,294.2700690993837,296.29786875592345,-2.7010596685196844,-2.9713827512047684,-2.4341654632834833,1.6650442218901467,1.3810876104843581,1.910056724663363,0.07549364789831028,0.06870679139212521,0.0832532749621252,0.18715862317763157,0.13717250485915256,0.25607135652618424,386.584667998945,360.8272759028144,408.7513990888047,285.90858531375267,14.266002886216777,95.1040558072615,8.223683728856072,1.2936255112141555,0.5393623808411219,1.7525634156583203
Modified Gaussian,Atta_colombica,297.1792054668332,295.66602891559296,298.83989130402796,-2.957550961402089,-3.5747715873948627,-2.251292170497116,1.5642623724298095,1.2490295886159446,1.8730315761764638,0.06276257119436196,0.0573702140909354,0.06926638893882875,0.15243016005515453,0.10505022567380583,0.21286899525843977,448.6292667827861,423.756159133908,469.48387374261387,344.16765159116,16.941534409519708,89.28129790182805,8.926859789892049,0.6723792216960428,0.3143820704135955,1.0188260867693595
Modified Gaussian,Cyphomyrmex_costatus,300.25737419508283,299.3315547224105,301.8201098701132,-2.4509041355682455,-2.9621618617159307,-1.9333545396649732,1.9453205353975878,1.7063679176493283,2.234009156644558,0.09432537917684888,0.0858414232888463,0.10394672987615282,0.029089646591246646,0.007172625169276539,0.05752183737402297,421.4626594113572,375.111911750541,490.3544656223747,229.61538642281744,15.320551338551658,67.90817762043464,6.708070125153051,1.10599313967005,0.7279652790410411,1.379404454394872
